CA Comments: ,EMPortal number:,provider,address,website,contact-person,phone,email,Given Name,Family Name,country,Business Country Ref Code,Agent Type Ref Code,Agent User Id,PRISMS User Id,,,,,,,,,,,,,,,
,23433,A and A INTERNATIONAL EDUCATION - Sydney,"Suite 1101, Level 11, 250 Pitt Street, Sydney, NSW 2000, Australia",www.AAliuxue.com ,Limin (Penny) Gu,02 82835839,sydney@aa-intl.com.au,A and A International Education ,A and A International Education,Australia,AUS,PROVIDER-AGENT,-1,,,,,,,,,,,,,,,,
,20265,AC AND T EDUCATION - Brisbane,"233 Albert Street, Brisbane 4000",www.actimmi.com,Royce Chi,07 3211 1180,info@actimmi.com.au,AC & T ,AC & T,Australia,AUS,PROVIDER-AGENT,-1,,,,,,,,,,,,,,,,
,11087,AC OVERSEAS STUDENT CENTRE - Sydney,"Suite 1608, 87-89 Liverpool Street,Sydney NSW 2000,Australia",www.acosc.com.au,Benge Lin,02 9283 6868,acosc@hotmail.com,AC Overseas ,AC Overseas,Australia,AUS,PROVIDER-AGENT,-1,,,,,,,,,,,,,,,,
,898,ACIC AUSTRALIAN COLLEGE INFORMATION CENTRE - Sydney,"Level 5,580 George St,Sydney NSW 2000, Australia",www.acic.com.au ,John Zhang ,02 9286 3799,admissions@acic.com.au,ACIC ,ACIC,Australia,AUS,PROVIDER-AGENT,-1,,,,,,,,,,,,,,,,
,37293,AGENT HAI PTY LTD - Perth,"Level 1, Suite 3, 91 Aberdeen Street, NORTHBRIDGE WA",agenthai.com.au/,Hai Dang,+61 402645122,adelaide@agenthai.com,Agent Hai ,Agent Hai,Australia,AUS,PROVIDER-AGENT,-1,,,,,,,,,,,,,,,,
,12775,AIDE EDUCATION AND MIGRATION - Melbourne,"Suite 24, 85 Queen Street, Melbourne VIC 3000",www.myaide.com.au,Kate Yang,03 9642 0886,info@myaide.com.au,AIDE ,AIDE,Australia,AUS,PROVIDER-AGENT,-1,,,,,,,,,,,,,,,,
,12770,AMAXGRACE PTY LTD - Adelaide,"Level 6, No.108 King William St, ADELAIDE SA 5000, Australia",www.amaxgrace.com,Becky Chen ,08 8212 4088,info@amaxgrace.com,Amaxgrace ,Amaxgrace,Australia,AUS,PROVIDER-AGENT,-1,,,,,,,,,,,,,,,,
,26059,AMET EDUCATION - Melbourne,"248 Swanston Street, Melbourne VIC 3000",www.amet.com.au,Katie Gu,03 96636448,melbourne@amet.com.au,AMET Education ,AMET Education,Australia,AUS,PROVIDER-AGENT,-1,,,,,,,,,,,,,,,,
,12678,AMET EDUCATION - Queensland ,"Level 1, 243 Edward Street, Brisbane 4000",www.ameteducation.com,Yini Reptis,07 3423 7677,education@amet.com.au,AMET Education ,AMET Education,Australia,AUS,PROVIDER-AGENT,-1,,,,,,,,,,,,,,,,
,2148,AMS BRIDGE BLUE - Sydney,"Suite 801, Level 8, 276 Pitt St Sydney",www.bridgeblue.com.au,Shiela Camille Samala ,02 9269 0110,info@amsbridgeblue.com,AMS ,AMS,Australia,AUS,PROVIDER-AGENT,-1,,,,,,,,,,,,,,,,
,17966,AOJI EDUCATION GROUP - Adelaide,"Level 1, 32-34 King William Street, Adelaide, SA 5000",www.aoji.com.au,Ivy Zhao,08 8212 6977,aojiinfo@globeedu.com.au,AOJI education group ,AOJI education group,Australia,AUS,PROVIDER-AGENT,-1,,,,,,,,,,,,,,,,
,23376,AOJI EDUCATION GROUP - Melbourne,"Level 5, 94 Elizabeth Street, Melbourne VIC 3000",www.aoji.com.au,Amy Huang,03 9606 0085,aojiinfo@globeedu.com.au,AOJI education group ,AOJI education group,Australia,AUS,PROVIDER-AGENT,-1,,,,,,,,,,,,,,,,
,10332,AOJI EDUCATION GROUP - Sydney,"Suite 6, Level 3, 591 George Street, Sydney NSW 2000 Australia",www.aoji.com.au,Aileen Wang ,02 9264 7171,aojisyd@globeedu.com.au,AOJI education group ,AOJI education group,Australia,AUS,PROVIDER-AGENT,-1,,,,,,,,,,,,,,,,
,1676,AS STUDENT SERVICES - Sydney,"Shop 2, 235-237 Anzac Parade Kensington ",www.asstudent.com.au,Sylvia Sasmita,02 9662 7429,sylvia@asstudent.com.au,AS Student Services ,AS Student Services,Australia,AUS,PROVIDER-AGENT,-1,,,,,,,,,,,,,,,,
